Village_Name,Village_Name_English,Latitude,Longitude
Shingnapur,,19.381303,74.8572143
Shirwal,,18.1479101,73.976653
Watar,,17.8850211,74.1386352
Chivhewadi,,18.2820299,73.9596299
Nasrapur,Nasrapur,18.2488013,73.8881807
Wadgaon,,18.740445,73.6375579
Bedsa,,18.7177449,73.5401901
Karli,Karla,18.7592569,73.4801117
Vaishakhare,,19.3026475,73.6275114
Narayangaon,,19.1202895,73.9732877
Ilha de Rachol,,15.3223971,74.005252
Dongri,,19.2911656,72.8025135
Murdha,,19.2990516,72.835645
Gorai,,19.241013,72.7821985
બાલસર (રાપર),Balasar,23.8406347,70.6696064
Zinzuwada,,23.3537043,71.6547297
Santalpur,,23.7627019,71.1676106
Dasada,,23.3238913,71.831442
Vithalapur,,23.3646601,72.0538841
Rampura,,23.2756776,72.1354496
Sami,,23.6841533,71.7781681
Bagodra,,22.6395385,72.2017754
Manori,,19.2067919,72.7850095
Sasan Gir,,21.1685616,70.5971896
Sheva,,18.9424837,72.9588852
Nhava,,18.9636454,72.9663368
Mandawa,,18.8030048,72.8807404
Karanja,,18.8482919,72.947498
Ghodbunder,,19.2882132,72.8955745
Khangaon Thadi,,20.0084844,74.1363474
Take harsha,,19.8817203,73.4589336
Parali,,19.7104933,73.2606592
Soregaon,,17.6003855,75.8871331
Nadhawal,,17.5430607,74.4695805
Gopuj,,17.5299383,74.3995858
Hattur,,17.549123,75.8919819
Waje,,19.012876,73.2013675
Nere,,19.0112185,73.1703729
Panhala,,16.8066833,74.1125979
Sangameshwar,,17.1716236,73.5354629
Shantivan,,19.0222244,73.1761645
Dundre,,19.0395375,73.203405
Devichapada,,19.0713596,73.1417787
Sankh,,17.0712192,75.5032122
Punawale,Punawale,18.6382904,73.7461948
Arnala,,19.4595518,72.7463871
Juchandra,,19.3547576,72.87482
Uttan,,19.281611,72.7852607
Gupta Prayag,,20.7532999,71.0021902
Ahmedpur Mandvi,,20.7491262,70.9347273
Burchawada,,20.7286022,70.9171049
Nagoa,,20.7074795,70.9156426
Kevdi,,20.7095233,70.9169994
TAD village,,20.7269441,70.9259687
Vanakbara,,20.7161868,70.8758436
Fudam,,20.7099358,70.9621853
Murki,,18.311069,77.2258972
Ravankola,,18.4436978,77.2714594
Nandi Bijalgaon,,18.4244602,77.303605
Jallandhar Beach,,20.7100616,70.987623
Benaulim,,15.2601367,73.9275675
Haji Malangwadi,,19.1161876,73.1763507
Ellora,,20.0231431,75.1630821
Galle Borgaon,,20.0895397,75.1226222
Dabhole,,16.9697587,73.6342141
Kamrej,,21.2797773,72.948269
Kadach,,21.3524781,69.9167858
Mama Pagal Ashram,,21.3122483,69.9119336
Garej,,21.4685606,69.8520431
Gorsar,,21.3330631,69.9004146
Ghodadar,,21.3390785,69.9874662
Bagashra,,21.371937,69.9716258
Chingaria,,21.3033042,69.9226979
Nerana,,21.5610128,69.8913645
Mitrala,,21.5240263,69.8795684
Aerda,,21.544553,69.8648385
Ugali Kenal Delodar,,21.5272494,69.8769529
Bhad,,21.5078995,69.8539225
Khageshree,,21.7581292,69.9791939
Devada,,21.7394706,69.8829709
Kandorana,,21.6470787,69.8838938
Ishveriya,,21.6851575,69.9464058
Mahobat Para,,21.650714,69.9662631
Ratia,,21.4169902,69.8235818
Balej,,21.377613,69.8676847
Dhaba,,21.4034736,69.8336274
Hanumana Dada Moucha,,21.3390879,69.8932558
Kadeghi,,21.4584315,69.9775941
Junej,,21.4616196,70.022766
Farer,,21.4564478,70.0054851
Tarkhani,,21.4712267,69.9597674
Gimaregaon,,19.6870169,73.5884413
Puntamba,,19.7684835,74.6184943
Tungarli,,18.765736,73.4073758
Khardi,,19.5877611,73.3843703
Khambhodar,,21.8063492,69.5882595
Adwana,,21.9139298,69.5944166
Shishli,,21.8698516,69.5071059
Miyani,,21.8397441,69.3833935
