type,latitude,longitude,name
village,18.1479101,73.976653,Village Shirwal ahead
village,17.8850211,74.1386352,Village Watar ahead
village,18.2820299,73.9596299,Village Chivhewadi ahead
village,18.2488013,73.8881807,Village Nasrapur ahead
village,18.740445,73.6375579,Village Wadgaon ahead
village,18.7177449,73.5401901,Village Bedsa ahead
village,18.7592569,73.4801117,Village Karli ahead
village,19.3026475,73.6275114,Village Vaishakhare ahead
village,19.1202895,73.9732877,Village Narayangaon ahead
village,15.3223971,74.005252,Village Ilha de Rachol ahead
village,19.2911656,72.8025135,Village Dongri ahead
village,19.2990516,72.835645,Village Murdha ahead
village,19.241013,72.7821985,Village Gorai ahead
village,23.8406347,70.6696064,Village બાલસર (રાપર) ahead
village,23.3537043,71.6547297,Village Zinzuwada ahead
village,23.7627019,71.1676106,Village Santalpur ahead
village,23.3238913,71.831442,Village Dasada ahead
village,23.3646601,72.0538841,Village Vithalapur ahead
village,23.2756776,72.1354496,Village Rampura ahead
village,23.6841533,71.7781681,Village Sami ahead
village,22.6395385,72.2017754,Village Bagodra ahead
village,19.2067919,72.7850095,Village Manori ahead
village,21.1685616,70.5971896,Village Sasan Gir ahead
village,18.9424837,72.9588852,Village Sheva ahead
village,18.9636454,72.9663368,Village Nhava ahead
village,18.8030048,72.8807404,Village Mandawa ahead
village,18.8482919,72.947498,Village Karanja ahead
village,19.2882132,72.8955745,Village Ghodbunder ahead
village,20.0084844,74.1363474,Village Khangaon Thadi ahead
village,19.8817203,73.4589336,Village Take harsha ahead
village,19.7104933,73.2606592,Village Parali ahead
village,17.6003855,75.8871331,Village Soregaon ahead
village,17.5430607,74.4695805,Village Nadhawal ahead
village,17.5299383,74.3995858,Village Gopuj ahead
village,17.549123,75.8919819,Village Hattur ahead
village,19.012876,73.2013675,Village Waje ahead
village,19.0112185,73.1703729,Village Nere ahead
village,16.8066833,74.1125979,Village Panhala ahead
village,17.1716236,73.5354629,Village Sangameshwar ahead
village,19.0222244,73.1761645,Village Shantivan ahead
village,19.0395375,73.203405,Village Dundre ahead
village,19.0713596,73.1417787,Village Devichapada ahead
village,17.0712192,75.5032122,Village Sankh ahead
village,18.6382904,73.7461948,Village Punawale ahead
village,19.4595518,72.7463871,Village Arnala ahead
village,19.3547576,72.87482,Village Juchandra ahead
village,19.281611,72.7852607,Village Uttan ahead
village,20.7532999,71.0021902,Village Gupta Prayag ahead
village,20.7491262,70.9347273,Village Ahmedpur Mandvi ahead
village,20.7286022,70.9171049,Village Burchawada ahead
village,20.7074795,70.9156426,Village Nagoa ahead
village,20.7095233,70.9169994,Village Kevdi ahead
village,20.7269441,70.9259687,Village TAD village ahead
village,20.7161868,70.8758436,Village Vanakbara ahead
village,20.7099358,70.9621853,Village Fudam ahead
village,18.311069,77.2258972,Village Murki ahead
village,18.4436978,77.2714594,Village Ravankola ahead
village,18.4244602,77.303605,Village Nandi Bijalgaon ahead
village,20.7100616,70.987623,Village Jallandhar Beach ahead
village,15.2601367,73.9275675,Village Benaulim ahead
village,19.1161876,73.1763507,Village Haji Malangwadi ahead
village,20.0231431,75.1630821,Village Ellora ahead
village,20.0895397,75.1226222,Village Galle Borgaon ahead
village,16.9697587,73.6342141,Village Dabhole ahead
village,21.2797773,72.948269,Village Kamrej ahead
village,21.3524781,69.9167858,Village Kadach ahead
village,21.3122483,69.9119336,Village Mama Pagal Ashram ahead
village,21.4685606,69.8520431,Village Garej ahead
village,21.3330631,69.9004146,Village Gorsar ahead
village,21.3390785,69.9874662,Village Ghodadar ahead
village,21.371937,69.9716258,Village Bagashra ahead
village,21.3033042,69.9226979,Village Chingaria ahead
village,21.5610128,69.8913645,Village Nerana ahead
village,21.5240263,69.8795684,Village Mitrala ahead
village,21.544553,69.8648385,Village Aerda ahead
village,21.5272494,69.8769529,Village Ugali Kenal Delodar ahead
village,21.5078995,69.8539225,Village Bhad ahead
village,21.7581292,69.9791939,Village Khageshree ahead
village,21.7394706,69.8829709,Village Devada ahead
village,21.6470787,69.8838938,Village Kandorana ahead
village,21.6851575,69.9464058,Village Ishveriya ahead
village,21.650714,69.9662631,Village Mahobat Para ahead
village,21.4169902,69.8235818,Village Ratia ahead
village,21.377613,69.8676847,Village Balej ahead
village,21.4034736,69.8336274,Village Dhaba ahead
village,21.3390879,69.8932558,Village Hanumana Dada Moucha ahead
village,21.4584315,69.9775941,Village Kadeghi ahead
village,21.4616196,70.022766,Village Junej ahead
village,21.4564478,70.0054851,Village Farer ahead
village,21.4712267,69.9597674,Village Tarkhani ahead
village,19.6870169,73.5884413,Village Gimaregaon ahead
village,19.7684835,74.6184943,Village Puntamba ahead
village,18.765736,73.4073758,Village Tungarli ahead
village,19.5877611,73.3843703,Village Khardi ahead
village,21.8063492,69.5882595,Village Khambhodar ahead
village,21.9139298,69.5944166,Village Adwana ahead
village,21.8698516,69.5071059,Village Shishli ahead
village,21.8397441,69.3833935,Village Miyani ahead
village,21.6996005,69.5995061,Village Degam ahead
village,21.8736323,69.5560807,Village Fatana ahead
village,21.7731353,69.5823649,Village Bharvada ahead
village,21.7907067,69.5913335,Village Bagavadar ahead
village,23.5065731,69.0439926,Village નાગવીરી ahead
village,17.8547627,73.7670258,Village Kelghar ahead
village,17.7947371,73.8277922,Village Medha ahead
village,18.0984592,73.3294819,Village Dasgaon ahead
village,18.541638,73.2197667,Village Pali ahead
village,18.4059382,73.2072541,Village Kolad ahead
village,18.7559917,73.3746932,Village Khandala ahead
village,20.979962,70.7681653,Village Jamawala ahead
village,20.532524,75.7513692,Village Ajanta ahead
village,20.5132691,76.2793196,Village Warwand ahead
village,18.8334254,73.3385677,Village Jambrung ahead
village,18.8401951,73.3418157,Village Bid Khurd ahead
village,18.9005462,73.2397866,Village Chowk ahead
village,18.8078307,73.2856109,Village Savroli ahead
village,18.5818209,73.5335824,Village Kolvan ahead
village,15.5985735,73.7408126,Village Vagator ahead
village,19.1745451,73.2375331,Village Manjarli ahead
village,19.1766096,73.2289517,Village Belavali ahead
village,21.575642,72.8565391,Village Mangrol ahead
village,21.5574204,72.8589033,Village Kalam ahead
